stock_code,top10_ratio_latest,report_count,top10_ratio_std,long_term_institution_count,institution_count_current,turnover_avg,latest_report_date,data_sufficient,filter_mode
002938,75.7,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
001282,75.66,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688533,75.62,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601096,75.61,1,,0.0,5.0,0.0,2025-12-16,False,relaxed
603172,75.6,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301223,75.57,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688190,75.43,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601601,75.4,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300695,75.35,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688697,75.21,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605333,75.18,1,,0.0,4.0,0.0,2025-10-15,False,relaxed
688196,75.15,1,,0.0,3.0,0.0,2025-10-24,False,relaxed
600301,75.14,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688686,75.12,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688631,75.1,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
605286,75.08,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002270,74.99,1,,0.0,3.0,0.0,2025-12-31,False,relaxed
603344,74.98,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300866,74.98,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688182,74.95,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
300990,74.94,1,,0.0,4.0,0.0,2025-10-15,False,relaxed
603055,74.9,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603280,74.83,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601766,74.81,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
601872,74.78,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600809,74.71,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688352,74.67,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603048,74.59,1,,0.0,3.0,0.0,2025-12-31,False,relaxed
301328,74.52,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
001318,74.52,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000166,74.5,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600475,74.47,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603317,74.44,1,,0.0,2.0,0.0,2026-03-13,False,relaxed
301446,74.27,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301199,74.23,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605183,74.19,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603043,74.12,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301503,74.08,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
002320,74.06,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000885,74.03,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
301389,73.85000000000001,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
